"ID","Tipo","SKU","Nombre","Publicado","¿Está destacado?","Visibilidad en el catálogo","Descripción corta","Descripción","Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?","Inventario","Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal","Categorías","Etiquetas","Clase de envío","Imágenes","Límite de descargas","Días de caducidad de la descarga","Superior","Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón","Posición","Fixed Tiered Prices","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Meta: wcz_pps_price_prefix","Meta: site-sidebar-layout","Meta: site-content-layout","Meta: theme-transparent-header-meta","Meta: precio_menudeo","Meta: _precio_menudeo","Meta: precio_mayoreo","Meta: _precio_mayoreo","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2","Meta: _wp_page_template","Nombre del atributo 3","Valor(es) del atributo 3","Atributo visible 3","Atributo global 3"
"790209605754","variation","2-1060065","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT SALMON 115, CAJA C/30","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT SALMON 115","","","taxable","parent","1","","","0","0","","","","","0","","","975.7919999999999","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605457.jpg","","","1060050","","","","","","33.0","","PRESENTACION","CAJA C/30","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","SALMON","","0","","","","",""
"790209605778","variation","2-1060066","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT TURQUESA 117, CAJA C/30","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT TURQUESA 117","","","taxable","parent","1","","","0","0","","","","","0","","","975.7919999999999","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605471.jpg","","","1060050","","","","","","34.0","","PRESENTACION","CAJA C/30","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","TURQUESA","","0","","","","",""
"790209605211","variation","2-1060067","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT VERDE BANDERA 101, CAJA C/30","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT VERDE BANDERA 101","","","taxable","parent","1","","","0","0","","","","","0","","","975.7919999999999","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/790209605310.jpg","","","1060050","","","","","","35.0","","PRESENTACION","CAJA C/30","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","VDE BANDERA","","0","","","","",""
"790209605266","variation","2-1060068","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT VERDE PASTEL 106, CAJA C/30","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT VERDE PASTEL 106","","","taxable","parent","1","","","0","0","","","","","0","","","975.7919999999999","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png","","","1060050","","","","","","36.0","","PRESENTACION","CAJA C/30","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","VERDE PASTEL","","0","","","","",""
"790209605440","variation","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT 50)","1","0","visible","","PAPEL AMERICA APSA (ROLLO) 70 CM X 5 MT","","","taxable","parent","1","","","0","0","","","","","0","","","","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/07/790209605440.jpg","","","1060050","","","","","","37.0","","PRESENTACION","PIEZA","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","AMARILLO","","0","","","","",""
"21200665219","variable","1150006","BANDERITAS POST-IT 680-2 .025M X .043M 50H AZUL","1","0","visible","BANDERITAS POST-IT 50 H AZUL","BANDERITAS POST-IT 680-2 .025M X .043M 50H AZUL","","","taxable","","1","","","0","0","","","","","1","","","50.286","OFICINA > OFICINA > NOTAS ADHESIVAS > BANDERITAS","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/05/21200665219.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/05/21200665219.jpg, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/05/21200665219.jpg, ","","","","","","","","","0.0","3:37.642","MARCA","POST-IT","1","1","","default","default","default","de 1 a 2 unidades","field_5fbf2c1eaa078","A partir de 3 unidades","field_5fbf2c2daa079","PRESENTACION","50H AZUL , 50H AZUL , 50H AZUL , ","1","0","default","","","0","0"
"30021200508180","variation","2-1150006","BANDERITAS POST-IT 680-2 .025M X .043M 50H AZUL, CAJA C/12","1","0","visible","","BANDERITAS POST-IT 680-2 .025M X .043M 50H AZUL","","","taxable","parent","1","","","0","0","","","","","0","","","603.432","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/05/21200665219.jpg","","","1150006","","","","","","1.0","","PRESENTACION","CAJA C/12","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","","","0","","","","",""
"50021200508825","variation","3-1150006","BANDERITAS POST-IT 680-2 .025M X .043M 50H AZUL, EMP C/36","1","0","visible","","BANDERITAS POST-IT 680-2 .025M X .043M 50H AZUL","","","taxable","parent","1","","","0","0","","","","","0","","","1810.296","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/05/21200665219.jpg","","","1150006","","","","","","2.0","","PRESENTACION","EMP C/36","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","","","0","","","","",""
"21200665219","variation","","BANDERITAS POST-IT 680-2 .025M X .043M 50H AZUL","1","0","visible","","BANDERITAS POST-IT 680-2 .025M X .043M 50H AZUL","","","taxable","parent","1","","","0","0","","","","","0","","","","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/05/21200665219.jpg","","","1150006","","","","","","3.0","3:37.642","PRESENTACION","Pieza","","0","","","","","de 1 a 2 unidades","field_5fbf2c1eaa078","A partir de 3 unidades","field_5fbf2c2daa079","ATRIBUTO","","","0","","","","",""
"1060148","simple","1060148","CARTONCILLO APSA NEGRO 50X70","1","0","visible","CARTONCILLO APSA NEGRO","CARTONCILLO APSA NEGRO 50X70","","","taxable","","1","","","0","0","","","","","1","","","2.9696","PAPELES > PAPELES > EXTENDIDOS > CARTONCILLO","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/07/1060148.jpg","","","","","","","","","0.0","3:2.2156","MARCA","APSA","1","1","","default","default","default","de 1 a 2 unidades","field_5fbf2c1eaa078","A partir de 3 unidades","field_5fbf2c2daa079","PRESENTACION","PIEZA","1","0","","","","0","0"
"767982000243","variable","1000100","GRAPA FIFA PILOT No 400 STANDARD C/5040 G.6.35 mm(1/4)","1","0","visible","GRAPA FIFA PILOT 6.35 mm(1/4)","GRAPA FIFA PILOT No 400 STANDARD C/5040 G.6.35 mm(1/4)","","","taxable","","1","","","0","0","","","","","1","","","44.4744","OFICINA > OFICINA > ENGRAPADO > GRAPAS","","","https://gpg.com.mx/wp-content/uploads/2020/11/767982000243.jpg, https://gpg.com.mx/wp-content/uploads/2020/11/767982000243.jpg, https://gpg.com.mx/wp-content/uploads/2020/11/767982000243.jpg, ","","","","","","","","","0.0","3:33.292","MARCA","FIFA","1","1","","default","default","default","de 1 a 2 unidades","field_5fbf2c1eaa078","A partir de 3 unidades","field_5fbf2c2daa079","PRESENTACION","STANDARD, STANDARD, STANDARD, ","1","0","default","","","0","0"
"767982800249","variation","2-1000100","GRAPA FIFA PILOT No 400 STANDARD C/5040 G.6.35 mm(1/4), EMP C/20","1","0","visible","","GRAPA FIFA PILOT No 400 STANDARD C/5040 G.6.35 mm(1/4)","","","taxable","parent","1","","","0","0","","","","","0","","","889.488","","","","https://gpg.com.mx/wp-content/uploads/2020/11/767982000243.jpg","","","1000100","","","","","","1.0","","PRESENTACION","CAJA C/20","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","","","0","","","","",""
"767982900246","variation","3-1000100","GRAPA FIFA PILOT No 400 STANDARD C/5040 G.6.35 mm(1/4), EMP C/100","1","0","visible","","GRAPA FIFA PILOT No 400 STANDARD C/5040 G.6.35 mm(1/4)","","","taxable","parent","1","","","0","0","","","","","0","","","4447.4400000000005","","","","https://gpg.com.mx/wp-content/uploads/2020/11/767982000243.jpg","","","1000100","","","","","","2.0","","PRESENTACION","EMP C/100","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","","","0","","","","",""
"767982000243","variation","","GRAPA FIFA PILOT No 400 STANDARD C/5040 G.6.35 mm(1/4)","1","0","visible","","GRAPA FIFA PILOT No 400 STANDARD C/5040 G.6.35 mm(1/4)","","","taxable","parent","1","","","0","0","","","","","0","","","","","","","https://gpg.com.mx/wp-content/uploads/2020/11/767982000243.jpg","","","1000100","","","","","","3.0","3:33.292","PRESENTACION","PIEZA","","0","","","","","de 1 a 2 unidades","field_5fbf2c1eaa078","A partir de 3 unidades","field_5fbf2c2daa079","ATRIBUTO","","","0","","","","",""
"767982000144","variable","1000020","ENGRAPADORA PILOT DE GOLPE CROMADA C/2 CAJAS DE GRAPAS","1","0","visible","ENGRAPADORA PILOT CON CAJAS DE GRAPAS","ENGRAPADORA PILOT DE GOLPE CROMADA C/2 CAJAS DE GRAPAS","","","taxable","","1","","","0","0","","","","","1","","","450.82239999999996","OFICINA > OFICINA > ENGRAPADO > ENGRAPADORAS","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png, https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png, ","","","","","","","","","0.0","3:337.444","MARCA","PILOT","1","1","","default","default","default","de 1 a 2 unidades","field_5fbf2c1eaa078","A partir de 3 unidades","field_5fbf2c2daa079","PRESENTACION","CON CAJAS DE GRAPAS, CON CAJAS DE GRAPAS, ","1","0","default","","","0","0"
"767982800454","variation","3-1000020","ENGRAPADORA PILOT DE GOLPE CROMADA C/2 CAJAS DE GRAPAS, EMP C/30","1","0","visible","","ENGRAPADORA PILOT DE GOLPE CROMADA C/2 CAJAS DE GRAPAS","","","taxable","parent","1","","","0","0","","","","","0","","","13524.671999999999","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png","","","1000020","","","","","","1.0","","PRESENTACION","EMP C/30","","0","","","","","No aplica","field_5fbf2c1eaa078","No aplica","field_5fbf2c2daa079","ATRIBUTO","","","0","","","","",""
"767982000144","variation","","ENGRAPADORA PILOT DE GOLPE CROMADA C/2 CAJAS DE GRAPAS","1","0","visible","","ENGRAPADORA PILOT DE GOLPE CROMADA C/2 CAJAS DE GRAPAS","","","taxable","parent","1","","","0","0","","","","","0","","","","","","","https://grupopapelerogutierrez.com.mx/wp-content/uploads/2020/06/NO-FOTO-1.png","","","1000020","","","","","","2.0","3:337.444","PRESENTACION","PIEZA","","0","","","","","de 1 a 2 unidades","field_5fbf2c1eaa078","A partir de 3 unidades","field_5fbf2c2daa079","ATRIBUTO","","","0","","","","",""
